com,reg,dep,libelle,d_nccenr,d_libelle,r_nccenr,r_libelle
1235,84,1,Marlieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1236,84,1,Marsonnas,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1237,84,1,Martignat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1238,84,1,Massieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1239,84,1,Massignieu-de-Rives,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1240,84,1,Matafelon-Granges,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1241,84,1,Meillonnas,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1242,84,1,Mérignat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1243,84,1,Messimy-sur-Saône,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1244,84,1,Meximieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1245,84,1,Bohas-Meyriat-Rignat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1246,84,1,Mézériat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1247,84,1,Mijoux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1248,84,1,Mionnay,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1249,84,1,Miribel,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1250,84,1,Misérieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1252,84,1,Mogneneins,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1254,84,1,Montagnat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1255,84,1,Montagnieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1257,84,1,Montanges,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1258,84,1,Montceaux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1259,84,1,Montcet,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1260,84,1,Le Montellier,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1261,84,1,Monthieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1262,84,1,Montluel,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1263,84,1,Montmerle-sur-Saône,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1264,84,1,Montracol,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1265,84,1,Montréal-la-Cluse,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1266,84,1,Montrevel-en-Bresse,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1267,84,1,Nurieux-Volognat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1268,84,1,Murs-et-Gélignieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1269,84,1,Nantua,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1271,,,Nattages,,,,
1272,84,1,Neuville-les-Dames,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1273,84,1,Neuville-sur-Ain,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1274,84,1,Les Neyrolles,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1275,84,1,Neyron,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1276,84,1,Niévroz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1277,84,1,Nivollet-Montgriffon,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1279,84,1,Oncieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1280,84,1,Ordonnaz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1281,84,1,Ornex,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1282,84,1,Outriaz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1283,84,1,Oyonnax,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1284,84,1,Ozan,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1285,84,1,Parcieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
